0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:13 +0900] "GET /BBS/image/%EB%8B%A5%ED%84%B0%20%EB%91%90%EB%A6%AC%ED%8B%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:13 +0900] "GET /BBS/image/%EC%B2%9C%EB%AC%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:13 +0900] "GET /BBS/image/%ED%9E%88%ED%8A%B8%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:43 +0900] "GET /BBS/movieList.movie HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:43 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:43 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:44 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:44 +0900] "GET /BBS/image/%EB%B0%B1%EB%91%90%EC%82%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:44 +0900] "GET /BBS/image/%EB%8B%A5%ED%84%B0%20%EB%91%90%EB%A6%AC%ED%8B%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:44 +0900] "GET /BBS/image/%EC%B2%9C%EB%AC%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:46:44 +0900] "GET /BBS/image/%ED%9E%88%ED%8A%B8%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:28 +0900] "GET /BBS/movieList.movie HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:28 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:29 +0900] "GET /BBS/image/%EB%B0%B1%EB%91%90%EC%82%B0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:29 +0900] "GET /BBS/image/%EB%8B%A5%ED%84%B0%20%EB%91%90%EB%A6%AC%ED%8B%80.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:29 +0900] "GET /BBS/image/%EC%B2%9C%EB%AC%B8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:47:29 +0900] "GET /BBS/image/%ED%9E%88%ED%8A%B8%EB%A7%A8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:50:11 +0900] "GET /BBS/movieList.movie HTTP/1.1" 200 3034
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:50:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2020:18:50:11 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
